sample_index,compliance
0,1.5319151114e-01
1,1.6078309096e-01
2,1.8065137686e-01
3,1.5682292295e-01
4,1.5203994573e-01
5,1.4913633244e-01
6,1.5647019728e-01
7,1.6800471537e-01
8,1.6978708422e-01
9,1.5535934985e-01
10,1.5735527903e-01
11,1.5661243680e-01
12,1.5670065706e-01
13,1.6634220262e-01
14,1.5691709586e-01
15,1.6905626539e-01
16,1.5047115370e-01
17,1.5447054645e-01
18,1.5115541139e-01
19,1.5458750851e-01
20,1.5509010696e-01
21,1.7052280408e-01
22,1.6171620641e-01
23,1.5156079756e-01
24,1.4921040635e-01
25,1.5604552098e-01
26,1.7848821914e-01
27,1.6595908579e-01
28,1.5642843100e-01
29,1.6250797304e-01
30,1.4446295582e-01
31,1.4923515996e-01
32,1.5691201955e-01
33,1.4948339142e-01
34,1.5776109801e-01
35,1.6376011659e-01
36,1.5438739872e-01
37,1.6711303740e-01
38,1.6668847266e-01
39,1.6365770103e-01
40,1.7615846900e-01
41,1.4928089933e-01
42,1.4308710456e-01
43,1.7030810315e-01
44,1.5016246745e-01
45,1.6360156055e-01
46,1.5507723333e-01
47,1.6069404175e-01
48,1.7430204978e-01
49,1.6016850219e-01
50,1.4450790172e-01
51,1.6812301847e-01
52,1.6824732477e-01
53,1.5988461347e-01
54,1.5343767312e-01
55,1.5244893517e-01
56,1.5715367658e-01
57,1.6241903570e-01
58,1.5347264813e-01
59,1.5186657194e-01
60,1.6445541085e-01
61,1.6766829630e-01
62,1.6162420335e-01
63,1.6273594355e-01
64,1.6471187396e-01
65,1.6215310790e-01
66,1.8800585506e-01
67,1.6715129380e-01
68,1.5667696563e-01
69,1.6172785394e-01
70,1.5186232665e-01
71,1.7087313953e-01
72,1.5459947793e-01
73,1.6416644966e-01
74,1.5770748298e-01
75,1.5564274758e-01
76,1.5269023065e-01
77,1.5525584372e-01
78,1.5361840397e-01
79,1.6391233685e-01
80,1.4623149825e-01
81,1.5243829090e-01
82,1.5989099252e-01
83,1.4514505460e-01
84,1.6066241681e-01
85,1.5050996475e-01
86,1.6127537978e-01
87,1.6429174086e-01
88,1.6442422736e-01
89,1.6384074554e-01
90,1.6172894009e-01
91,1.5535754954e-01
92,1.6217595393e-01
93,1.6966739501e-01
94,1.6448041677e-01
95,1.5268909676e-01
96,1.4694670502e-01
97,1.6073318196e-01
98,1.5389514866e-01
99,1.4853826226e-01
